date,voltage,current,power,energy,frequency,powerfactor
25/02/2021,205.9,0.15,26,2,49.8,0.85
25/02/2021,205.5,0.15,26,2,50.1,0.85
25/02/2021,204,0.15,25.6,2.01,50,0.85
25/02/2021,204.3,0.15,25.7,2.02,49.9,0.85
25/02/2021,199.2,0.15,24.6,2.02,50,0.85
25/02/2021,200.3,0.15,24.8,2.03,49.9,0.85
25/02/2021,194.8,0.14,23.6,2.04,50,0.85
25/02/2021,195.5,0.14,23.8,2.04,49.9,0.85
25/02/2021,191.7,0.14,23,2.05,50,0.86
25/02/2021,200.7,0.15,24.9,2.05,49.8,0.86
25/02/2021,198.1,0.14,24.3,2.06,49.9,0.85
25/02/2021,197.9,0.14,24.3,2.07,49.9,0.85
25/02/2021,192.9,0.14,23.2,2.07,49.9,0.85
25/02/2021,195.1,0.14,23.7,2.08,49.9,0.86
25/02/2021,194.7,0.14,23.6,2.08,50,0.85
25/02/2021,198.8,0.15,24.5,2.09,50,0.85
25/02/2021,197,0.14,24.1,2.1,50,0.86
25/02/2021,192.7,0.14,23.1,2.1,49.8,0.86
25/02/2021,188.7,0.14,22.3,2.11,50,0.86
25/02/2021,189.4,0.14,22.4,2.11,50,0.85
25/02/2021,194,0.14,23.4,2.12,49.9,0.86
25/02/2021,193.9,0.14,23.4,2.12,49.9,0.86
25/02/2021,192,0.14,23,2.13,49.8,0.86
25/02/2021,190.3,0.14,22.5,2.14,49.9,0.85
25/02/2021,194.9,0.17,32.1,2.14,49.9,0.97
25/02/2021,191,0.17,31,2.15,50,0.97
25/02/2021,195.3,0.17,32.3,2.16,49.9,0.98
25/02/2021,192.2,0.17,31.3,2.17,49.9,0.98
25/02/2021,189.8,0.17,30.6,2.17,49.9,0.98
25/02/2021,191,0.17,31,2.18,49.9,0.97
25/02/2021,194.6,0.17,32.1,2.19,50.1,0.98
25/02/2021,196.2,0.17,32.5,2.2,49.9,0.97
25/02/2021,196,0.17,32.5,2.21,49.9,0.98
25/02/2021,201.2,0.17,34,2.21,50,0.98
25/02/2021,206.3,0.18,35.6,2.22,50,0.97
